PCAP Date,LP Short Name,Field Num,Field, Amount 
9/30/2022,Breeze,12,Carried Interest,"-520,992"
9/30/2022,Breeze,15,Fund Expenses,"-64,006"
9/30/2022,Breeze,16,Ending Capital Balance,"117,119,431"
12/31/2022,Indiana,1,Beginning Capital Balance,"121,654,188"
12/31/2022,Indiana,2,Capital Calls,0
12/31/2022,Indiana,4,Distributions,"-2,737,521"
12/31/2022,Indiana,7,Interest Income,"4,096,816"
12/31/2022,Indiana,8,Realized Gain / (Loss),0
12/31/2022,Indiana,9,Unrealized Gain / (Loss),0
12/31/2022,Indiana,10,Investment Expenses,"-38,636"
12/31/2022,Indiana,11,Management Fees,"-446,412"
12/31/2022,Indiana,12,Carried Interest,"-530,229"
12/31/2022,Indiana,15,Fund Expenses,"-76,909"
12/31/2022,Indiana,16,Ending Capital Balance,"121,921,297"
12/31/2022,Breeze,1,Beginning Capital Balance,"117,119,431"
12/31/2022,Breeze,2,Capital Calls,"114,167,140"
12/31/2022,Breeze,4,Distributions,"-2,952,291"
12/31/2022,Breeze,7,Interest Income,"4,614,953"
12/31/2022,Breeze,8,Realized Gain / (Loss),0
12/31/2022,Breeze,9,Unrealized Gain / (Loss),0
12/31/2022,Breeze,10,Investment Expenses,"-148,920"
12/31/2022,Breeze,11,Management Fees,"-425,472"
12/31/2022,Breeze,12,Carried Interest,"-594,128"
12/31/2022,Breeze,15,Fund Expenses,"-79,708"
12/31/2022,Breeze,16,Ending Capital Balance,"117,533,865"
3/31/2023,Dolce,1,Beginning Capital Balance,0
3/31/2023,Dolce,2,Capital Calls,"1,860,000"
3/31/2023,Dolce,5,Distributions (Principal),0
3/31/2023,Dolce,6,Distributions (Income),0
3/31/2023,Dolce,7,Interest Income,"60,192"
3/31/2023,Dolce,8,Realized Gain / (Loss),0
3/31/2023,Dolce,10,Investment Expenses,"-17,258"
3/31/2023,Dolce,11,Management Fees,"-4,688"
3/31/2023,Dolce,12,Carried Interest,"-6,955"
3/31/2023,Dolce,15,Fund Expenses,"-3,472"
3/31/2023,Dolce,16,Ending Capital Balance,"1,887,819"
3/31/2023,Indiana,1,Beginning Capital Balance,"121,921,298"
3/31/2023,Indiana,2,Capital Calls,93000000
3/31/2023,Indiana,5,Distributions (Principal),0
3/31/2023,Indiana,6,Distributions (Income),"-3,004,631"
3/31/2023,Indiana,7,Interest Income,"6,880,238"
3/31/2023,Indiana,8,Realized Gain / (Loss),0
3/31/2023,Indiana,10,Investment Expenses,"-887,496"
3/31/2023,Indiana,11,Management Fees,"-615,637"
3/31/2023,Indiana,12,Carried Interest,"-768,711"
3/31/2023,Indiana,15,Fund Expenses,"-252,368"
3/31/2023,Indiana,16,Ending Capital Balance,"216,272,694"
3/31/2023,Breeze,1,Beginning Capital Balance,"117,533,865"
3/31/2023,Breeze,2,Capital Calls,0
3/31/2023,Breeze,5,Distributions (Principal),0
3/31/2023,Breeze,6,Distributions (Income),"-3,366,725"
3/31/2023,Breeze,7,Interest Income,"4,584,587"
3/31/2023,Breeze,8,Realized Gain / (Loss),0
3/31/2023,Breeze,10,Investment Expenses,"-26,847"
3/31/2023,Breeze,11,Management Fees,"-422,262"
3/31/2023,Breeze,12,Carried Interest,"-611,061"
3/31/2023,Breeze,15,Fund Expenses,"-61,737"
3/31/2023,Breeze,16,Ending Capital Balance,"117,629,818"
6/30/2023,Dolce,1,Beginning Capital Balance,1887819
